locn_nbr,locn_cty,locn_st_cd,zip_cd,zip_pls_4,locn_addr,latitude,longitude,display_name,population_density,median_household_income,normalised_population_density,normalised_economy
4888,MADISONVILLE        ,KY,42431,0,SEC CENTRAL CITY RD      ,37.3280037,-87.4986989,"Madisonville, Hopkins County, Kentucky, 42431, United States",162.0,39377.0,0.21732687938358194,11.46907310657265
9404,ALBANY              ,NY,12205,0,I 90 AND EVERETT         ,42.75496845000001,-73.85268808034111,"8 Cragmoor Ln, Albany, NY 12205, Town of Colonie, Albany County, New York, United States",1708.0,65090.0,4.035365010372419,30.25757188264952
9778,TOMAH               ,WI,53220,0,US 12 N OF TOWN RD       ,43.978576,-90.5040214,"Tomah, Monroe County, Wisconsin, 54660, United States",4751.0,46891.0,11.550429714511507,16.959555734171204
9730,LEEDS               ,AL,35094,0,122 PARKWAY DRIVE SE     ,33.5439212,-86.5427551,"Leeds, Jefferson County, Alabama, 35094, United States",247.0,51912.0,0.42724488787908727,20.628402323627196
9800,MARIANNA            ,FL,33711,0,US HWY 90  SR 73 N E     ,30.7743596,-85.2268735,"Marianna, Jackson County, Florida, 32447, United States",4019.0,36154.0,9.742665217820806,9.114025793723284
9763,EASTON              ,MD,21133,0,US ROUTE 50 NORTHBOUND   ,38.7744952,-76.0763065,"Easton, Talbot County, Maryland, 21601, United States",2960.0,75010.0,7.127333794329744,37.5061196156516
4889,GAFFNEY             ,SC,29412,0,SC HWY 11 AT ELLIS FERRY ,35.0717945,-81.6498195,"Gaffney, Cherokee County, South Carolina, 29342, United States",914.0,59216.0,2.074483848661464,25.965437872200503
4896,LAKE WORTH          ,TX,76135,3798,NWC LOOP 820 JACKSBORO   ,32.8201807,-97.41652399709137,"Lake Worth High School, 4210, Boat Club Road, Fort Worth, Tarrant County, 76135, United States",797.0,52945.0,1.7855378840264744,21.383215812356145
4799,SOUTH HILL          ,VA,23452,0,E/S US HWY 58            ,56.6314323,-61.4430678,"South Hill, Labrador, Newfoundland and Labrador, Canada",4052.0,61522.0,9.824162797589647,27.650432939972962
7840,MANTENO             ,IL,60950,0,8374 N 4000 EAST         ,41.2506759,-87.8314299,"Manteno, Kankakee County, Illinois, 60950, United States",159.0,64669.0,0.2099180084955053,29.949947024222716
7800,HOFFMAN ESTATES     ,IL,60179,0,3333 BEVERLY ROAD        ,42.079958588306035,-88.22349212286579,"3333, Beverly Road, Hoffman Estates, Barrington Township, Cook County, Illinois, 60179, United States",4406.0,68864.0,10.698409562382691,33.01523510284608
4784,LONG BEACH          ,MS,39560,6114,214 EAST BEACH           ,30.3504751,-89.1528176,"Long Beach, Harrison County, Mississippi, 39560, United States",772.0,50177.0,1.7237972932925023,19.360637170728143
9423,BRIDGEHAMPTON       ,NY,11932,3040,BLDG 82 MONTAUK HIGHWAY  ,40.9378088,-72.3008997,"Bridgehampton, Town of Southampton, Suffolk County, New York, 11932, United States",162.0,67083.0,0.21732687938358194,31.71385773263673
3202,WESTWOOD            ,NJ,7675,1674,700 BROADWAY             ,40.9965395,-74.0383612,"Kmart, 700, Broadway, Westwood, Bergen County, New Jersey, 07675, United States",2740.0,101924.0,6.584016595870789,57.17218954367761
3074,MIAMI               ,FL,33183,4002,14091 SW 88TH ST         ,25.68513804347826,-80.42341869565217,"14091, Southwest 88th Street, Kendall Lakes, Miami-Dade County, Florida, 33186, United States",6235.0,52571.0,15.215351180480093,21.109933871615944
